Test,Part,NoiDungTuVung,DichNghia,AmThanh,CauViDu
1,3,Textile,"dệt may, vải",/ˈtekstaɪl/,The factory produces textiles for the fashion industry.
1,3,Lack of,thiếu,/læk əv/,There is a lack of evidence to support the claim.
1,3,Preference,"sự ưu tiên, thích hơn",/ˈprefərəns/,My preference is for spicy food over sweet dishes.
1,3,Negotiate,đàm phán,/nɪˈɡəʊʃieɪt/,The company is negotiating a new contract with its suppliers.
1,3,Expand,mở rộng,/ɪkˈspænd/,The company plans to expand its operations into Europe.
1,3,Oversee,giám sát,/ˌəʊvəˈsiː/,She oversees the development of new products in the company.
1,3,Description,sự mô tả,/dɪˈskrɪpʃən/,Can you provide a detailed description of the incident?
1,3,Revise,"chỉnh sửa, xem lại",/rɪˈvaɪz/,I need to revise my essay before submitting it to the professor.
1,3,Flat,căn hộ / phẳng,/flæt/,He lives in a flat overlooking the river.
1,3,Be supposed to V,"được cho là, có nhiệm vụ làm gì",/bi səˈpəʊzd tə/,You're supposed to finish the assignment by Friday.
1,3,Catering,dịch vụ ăn uống,/ˈkeɪtərɪŋ/,The company provides catering for corporate events.
1,3,Dealership,đại lý,/ˈdiːləʃɪp/,He bought his car from a local dealership.
1,3,Eventually,cuối cùng,/ɪˈventʃuəli/,She eventually decided to accept the job offer.
1,3,Path,"con đường, lối đi",/pɑːθ/,We walked along the forest path to reach the cabin.
1,3,Merge,hợp nhất,/mɜːdʒ/,The two companies agreed to merge into one organization.
1,3,Relief,"sự giảm nhẹ, khuây khỏa",/rɪˈliːf/,She felt a sense of relief when she completed the exam.
1,3,Initiative,"sáng kiến, sự khởi xướng",/ɪˈnɪʃətɪv/,The government has launched a new initiative to improve education.
1,3,Doubt,sự nghi ngờ / nghi ngờ,/daʊt/,I have no doubt that she is qualified for the position.
1,3,Relocate,"di chuyển, chuyển chỗ",/ˌriːləʊˈkeɪt/,The company decided to relocate its headquarters to a larger city.
1,3,Container,thùng chứa,/kənˈteɪnə/,The containers were loaded onto the truck for delivery.
1,3,Straw,"ống hút, rơm",/strɔː/,She drank her juice through a paper straw to avoid using plastic.
1,3,No longer,không còn,/nəʊ ˈlɒŋɡə/,He no longer works for that company after the restructuring.
1,3,Sculpture,tác phẩm điêu khắc,/ˈskʌlptʃə/,The museum displayed an ancient sculpture from the Roman era.
1,4,Reach,"liên hệ, với tới",/riːtʃ/,You can reach me via email if you have any questions.
1,4,Repave,lát lại,/ˌriːˈpeɪv/,The city council decided to repave the old road to improve driving conditions.
1,4,Adjacent,liền kề,/əˈdʒeɪsənt/,The library is adjacent to the cafeteria on campus.
1,4,Resident,cư dân,/ˈrezɪdənt/,The new policy was announced to all residents of the apartment complex.
1,4,Designate,chỉ định,/ˈdezɪɡneɪt/,She was designated as the team leader for the project.
1,4,Parking spot,chỗ đậu xe,/ˈpɑːkɪŋ spɒt/,Finding a parking spot near the mall can be difficult on weekends.
1,4,Lobby,sảnh,/ˈlɒbi/,The meeting will be held in the lobby of the main building.
1,4,Record,"hồ sơ, kỷ lục",/ˈrekɔːd/ (n); /rɪˈkɔːd/ (v),She holds the record for the fastest marathon time in the state.
1,4,Fine,tiền phạt,/faɪn/,He received a fine for parking in a no-parking zone.
1,4,Election ballot,lá phiếu bầu cử,/ɪˈlekʃən ˈbælət/,Voters are required to submit their election ballots by the end of the day.
1,4,Episode,"tập phim, sự kiện",/ˈepɪsəʊd/,The latest episode of the TV series was quite thrilling.
1,4,Go over,"xem lại, kiểm tra",/ɡəʊ ˈəʊvə/,Let’s go over the report to ensure all the data is accurate.
1,4,Minor,"nhỏ, không đáng kể",/ˈmaɪnə/,The damage to the car was minor and could be repaired easily.
1,4,Crack,"vết nứt, nứt vỡ",/kræk/,There’s a small crack in the windowpane that needs fixing.
1,4,Track,"đường ray, theo dõi",/træk/,The hikers followed a narrow track through the forest.
1,4,Invent,phát minh,/ɪnˈvent/,Thomas Edison invented the electric light bulb.
1,4,Consult,"tham khảo, tư vấn",/kənˈsʌlt/,It’s better to consult with a lawyer before signing the contract.
1,4,Drain,"ống thoát nước, làm cạn kiệt",/dreɪn/,"The kitchen sink is clogged, so the drain needs to be fixed."
1,4,Conservatory,"nhà kính, nhạc viện",/kənˈsɜːvətəri/,She studies piano at the local conservatory.
1,4,Learn about,tìm hiểu về,/lɜːn əˈbaʊt/,I want to learn about the history of this ancient city.
1,4,Renowned,nổi tiếng,/rɪˈnaʊnd/,He is a renowned artist known for his vibrant paintings.
1,4,Lecture,bài giảng,/ˈlektʃə/,The professor gave an inspiring lecture on environmental conservation.
1,4,Conduct an interview,thực hiện một cuộc phỏng vấn,/kənˈdʌkt ən ˈɪntəvjuː/,The journalist will conduct an interview with the CEO tomorrow.
1,4,Encourage,khuyến khích,/ɪnˈkʌrɪdʒ/,Her teacher always encourages her to try new things.
1,4,Proceeds,"tiền thu được, doanh thu",/ˈprəʊsiːdz/,The proceeds from the charity event will go to local shelters.
1,4,Rehearsal,buổi diễn tập,/rɪˈhɜːsl/,The actors are busy with rehearsals for the upcoming play.
1,4,Sponsor,"tài trợ, nhà tài trợ",/ˈspɒnsə/,The company will sponsor the sports event to promote its brand.
1,4,Refreshment,đồ ăn thức uống,/rɪˈfreʃmənt/,Refreshments will be served during the break.
1,4,Session,"buổi họp, phiên",/ˈseʃən/,The training session will start at 10 AM.
1,4,Wisely,một cách khôn ngoan,/ˈwaɪzli/,He wisely invested his money in real estate.
1,4,Factor,yếu tố,/ˈfæktə/,Time is an important factor to consider when planning a project.
1,4,Refer,"tham khảo, giới thiệu",/rɪˈfɜː/,Please refer to the manual for instructions on how to operate the machine.
1,4,Packet,"gói, túi nhỏ",/ˈpækɪt/,She handed me a packet of documents to review.
1,4,Hand,"đưa, giao",/hænd/,Can you hand me that book from the shelf?
1,4,Archaeologist,nhà khảo cổ học,/ˌɑːkiˈɒlədʒɪst/,The archaeologist discovered ancient artifacts during the excavation.
1,4,Uncover,"phát hiện, khám phá",/ʌnˈkʌvə/,The investigation aims to uncover the truth about the incident.
1,4,Remain,"còn lại, giữ nguyên",/rɪˈmeɪn/,"Despite the storm, the structure remained intact."
1,4,Mosaic,tranh khảm,/məʊˈzeɪɪk/,The church’s ceiling was decorated with a stunning mosaic.
1,4,Vibrant,"sôi động, rực rỡ",/ˈvaɪbrənt/,The market is known for its vibrant atmosphere and colorful stalls.
1,4,Ruin,"tàn tích, làm hỏng",/ˈruːɪn/,The ancient ruins attract thousands of tourists every year.
1,4,Intricate,"phức tạp, tinh xảo",/ˈɪntrɪkət/,The artist’s intricate designs are admired worldwide.
1,4,Dim,"lờ mờ, tối",/dɪm/,The room was lit by a single dim lamp.
1,4,Proceed,"tiếp tục, tiến hành",/prəˈsiːd/,"After the discussion, we proceeded with the project as planned."
1,4,Handrail,tay vịn cầu thang,/ˈhændreɪl/,Please use the handrail when walking down the stairs for safety.
1,4,Defensive,phòng thủ,/dɪˈfensɪv/,The team played a defensive strategy to maintain their lead.
1,4,Inhabitant,cư dân,/ɪnˈhæbɪtənt/,The city has millions of inhabitants who depend on public transport.
1,4,Win a contract,giành được hợp đồng,/wɪn ə ˈkɒntrækt/,The company successfully won a contract to supply medical equipment to the hospital.
1,4,Priority,ưu tiên,/praɪˈɒrəti/,Ensuring customer satisfaction is our top priority.
1,4,Rough,"thô ráp, khó khăn",/rʌf/,"The terrain was rough, making it difficult to drive through."
1,4,Keep sb posted,thông báo cho ai liên tục,/kiːp ˈsʌmbədi ˈpəʊstɪd/,Please keep me posted on any changes to the schedule.
1,4,Explore,khám phá,/ɪkˈsplɔː/,The travelers explored the ancient ruins with great curiosity.
1,4,Commemorate,tưởng nhớ,/kəˈmeməreɪt/,The statue was built to commemorate the hero's achievements.
1,4,Depth,"độ sâu, chiều sâu",/depθ/,The depth of the ocean was difficult to measure accurately with the equipment available.
1,4,Stay informed,luôn được cập nhật thông tin,/steɪ ɪnˈfɔːmd/,It’s important to stay informed about the latest news in the tech industry.
2,1,Insert,"chèn, đưa vào",,Please insert the USB drive into the computer.
2,1,Cord,dây cáp,,The cord of the lamp is tangled.
2,1,Outlet,"ổ cắm điện, đầu ra",,Plug the charger into the outlet next to the bed.
2,1,Press a button,nhấn nút,,"To start the machine, press the green button."
2,1,Grip,"cầm chặt, sự nắm chặt",,Keep a firm grip on the ladder to avoid slipping.
2,1,Handle,tay cầm,,The suitcase has a broken handle.
2,1,Tack onto,gắn thêm vào,,The new schedule was tacked onto the noticeboard.
2,1,Window shutter,cửa chớp,,He closed the window shutters to block out the sunlight.
2,1,Clear off,dọn sạch,,Clear off the table before setting up the new display.
2,1,Wooden board,tấm ván gỗ,,The carpenter cut the wooden board to the required dimensions.
2,1,Utensil,dụng cụ,,Cooking utensils were neatly arranged on the counter.
2,1,Discard,vứt bỏ,,Please discard any items that are no longer needed.
2,1,Rolling chair,ghế xoay,,He sat on a rolling chair at his workstation.
2,1,Counter,"quầy, mặt bàn",,Place the dishes on the kitchen counter after washing.
2,1,Drawer,ngăn kéo,,The drawer was full of old receipts and papers.
2,1,Chop,"thái, chặt",,He used a sharp knife to chop the vegetables.
2,1,Scatter,"rải, rắc",,The children scattered the toys all over the room.
2,1,Pile,"chồng, chất đống",,The workers piled the bricks neatly at the construction site.
2,1,Load into,chất vào,,The groceries were loaded into the trunk of the car.
2,1,Tent,lều,,We set up the tent by the lake for an overnight camping trip.
2,1,Canopy,"mái che, tán cây",,A canopy was installed over the outdoor seating area to provide shade.
2,1,Stack,"chồng, xếp chồng",,The books were stacked neatly on the shelf.
2,1,Escalator,thang cuốn,,The escalator at the mall was under maintenance.
2,1,Rack,giá đỡ,,Hang your coat on the rack by the door.
2,1,Lift onto,nhấc lên,,They lifted the heavy box onto the truck with great effort.
2,1,Shuttle bus,xe buýt đưa đón,,A shuttle bus runs between the airport and the hotel every 30 minutes.
2,2,Trash bin,thùng rác,,Please throw the empty bottles into the trash bin.
2,2,Branch,"chi nhánh, cành cây",,The bank opened a new branch in the city center.
2,2,Water,tưới nước,,Don’t forget to water the plants while I’m away.
2,2,Seashore,bờ biển,,We spent the afternoon walking along the seashore.
2,2,Brochure,tờ rơi quảng cáo,,The travel agency provided a brochure detailing their tour packages.
2,2,Front desk,quầy lễ tân,,You can leave your room key at the front desk.
2,2,Delicious,ngon,,The restaurant is known for its delicious desserts.
2,2,On time,đúng giờ,,The train arrived on time despite the bad weather.
2,2,Demonstration,"sự trình diễn, minh họa",,The sales team gave a demonstration of the product's features.
2,2,Specialist,chuyên gia,,A specialist was called to repair the damaged equipment.
2,2,Involve,"bao gồm, liên quan đến",,The project will involve collaboration between multiple departments.
2,2,Palette,bảng màu,,The artist chose a vibrant palette for her painting.
2,2,Battery,"pin, ắc quy",,The remote control needs a new battery.
2,2,Retire,nghỉ hưu,,He plans to retire from his job next year.
2,2,Pick up,"nhặt lên, đón",,Could you pick up the package from the post office?
2,2,Revise,"sửa đổi, ôn tập",,The author decided to revise the manuscript before publishing.
2,2,Cover under warranty,bảo hành,,Repairs are covered under the warranty for the first year.
2,2,Interior,"bên trong, nội thất",,The interior of the car is spacious and comfortable.
2,2,Binder,"bìa kẹp, bìa tài liệu",,Please organize the documents in this binder.
2,2,Sample,mẫu,,Customers can try a free sample of the product before buying.
2,2,Give sb a tour,dẫn ai đi tham quan,,The manager gave the new employees a tour of the facility.
2,2,Property,"tài sản, bất động sản",,The property was sold for a record price at the auction.
2,3,Dock,"bến tàu, cập bến",,The ship docked at the port early this morning.
2,3,Avoid,tránh,,Drivers should avoid the road due to heavy traffic.
2,3,Behind schedule,trễ tiến độ,,The project is behind schedule due to unforeseen issues.
2,3,Failure,thất bại,,The engine failure caused a significant delay in operations.
2,3,Machinery,máy móc,,The factory invested in new machinery to improve productivity.
2,3,Lift,"nâng lên, thang máy",,The workers used a crane to lift the heavy materials onto the truck.
2,3,Work on sth,làm việc với,,The team is currently working on improving the product design.
2,3,Landscape,"phong cảnh, làm vườn",,The landscape around the villa is breathtaking.
2,3,Acquire,"đạt được, mua",,She acquired a new skill during the training program.
2,3,Significant,"quan trọng, đáng kể",,The new policy has brought significant changes to the company.
2,3,Investigate,điều tra,,The police are investigating the cause of the accident.
2,3,Stunning,tuyệt đẹp,,The view from the mountain is absolutely stunning.
2,3,Unveil,"tiết lộ, ra mắt",,The company will unveil its latest product at the trade fair.
2,3,Art restorer,người phục chế nghệ thuật,,The art restorer worked meticulously on the damaged painting.
2,3,Prefer,thích hơn,,I prefer tea to coffee in the morning.
2,3,Handout,tài liệu phát tay,,The instructor distributed a handout with the lecture notes.
2,3,Impact,tác động,,The new regulations have had a significant impact on small businesses.
2,3,Itinerary,lịch trình,,The tour guide shared the itinerary with the group before departure.
2,3,Mandatory,bắt buộc,,Wearing a helmet is mandatory for all motorcyclists.
2,3,Casual,"bình thường, không trang trọng",,The dress code for the party is casual.
2,3,Fill sb position,lấp vị trí,,The company is looking for someone to fill the vacant position.
2,3,Extended,kéo dài,,The extended deadline allowed the team to complete the project.
2,3,Gain,"đạt được, sự tăng",,Regular exercise helps you gain strength and endurance.
2,3,Segment,"phân đoạn, khúc",,Each segment of the program is designed to focus on a specific topic.
2,3,State-of-the-art,hiện đại nhất,,The hospital is equipped with state-of-the-art medical technology.
2,3,Athlete,vận động viên,,The athlete won a gold medal at the Olympics.
2,3,Compete,cạnh tranh,,Many teams are competing for the championship title.
2,3,Career path,con đường sự nghiệp,,She chose a career path in engineering.
2,3,Delighted,vui mừng,,I was delighted to receive your invitation to the event.
2,3,Institute,"học viện, thiết lập",,The government plans to institute new policies to improve education.
2,3,Goal,mục tiêu,,Her primary goal is to complete her master's degree next year.
2,3,Draft,"bản nháp, phác thảo",,He shared a draft of the report with his colleagues for feedback.
2,3,Allocate,phân bổ,,The manager allocated the funds to the marketing department.
2,3,Fund,"quỹ, tài trợ",,The organization raised a fund to support underprivileged children.
2,3,Preliminary,"sơ bộ, ban đầu",,The preliminary results of the study are very promising.
2,3,Findings,kết quả nghiên cứu,,The findings of the survey will be published in next month’s report.
2,3,Credit card,thẻ tín dụng,,She used her credit card to pay for the online purchase.
2,3,Keep track of,theo dõi,,It's essential to keep track of expenses to maintain a budget.
2,3,Alert,"cảnh báo, cảnh giác",,The weather service issued an alert about the incoming storm.
2,3,Inventory,hàng tồn kho,,The store conducts an inventory check every month.
2,3,Stock,"hàng hóa, dự trữ",,The warehouse is stocked with all the necessary materials.
2,3,Irrigation,sự tưới tiêu,,Efficient irrigation systems are crucial for agriculture in arid regions.
2,3,Figure out,tìm ra,,We need to figure out how to increase production without raising costs.
2,3,Orchard,vườn cây ăn quả,,The orchard was full of ripe apples ready for harvesting.
2,3,Lawn,bãi cỏ,,The children were playing on the lawn in front of the house.
2,3,Transplant,cấy ghép,,Farmers transplanted the seedlings into larger pots.
2,3,Terrible,kinh khủng,,The weather was so terrible that we decided to stay indoors.
2,3,Manual,"sách hướng dẫn, thủ công",,The machine comes with a user manual for easy installation.
2,3,On schedule,đúng tiến độ,,The construction project is progressing on schedule.
2,3,Suit,phù hợp,,This new dress suits you perfectly.
2,3,Prize,giải thưởng,,She won the first prize in the photography competition.
2,3,Preferred,được ưu tiên,,Early morning is my preferred time for jogging.
2,3,Ahead of time,trước thời hạn,,Please submit the application ahead of time to avoid delays.
2,4,Package,"gói hàng, đóng gói",,The package was delivered to my doorstep this morning.
2,4,Gallery,phòng trưng bày,,The art gallery features works by contemporary artists.
2,4,Occasion,dịp,,We met on the occasion of her birthday celebration.
2,4,Digital,kỹ thuật số,,The digital clock displays the time accurately to the second.
2,4,Guarantee,đảm bảo,,The company offers a one-year guarantee on all their products.
2,4,Caterer,nhà cung cấp thực phẩm,,The caterer prepared an elaborate menu for the wedding reception.
2,4,Have sth done,nhờ ai làm gì,,I had my car repaired by a trusted mechanic.
2,4,Signature,chữ ký,,Please put your signature at the bottom of the contract.
2,4,Warranty,bảo hành,,The laptop comes with a two-year warranty.
2,4,Newsletter,bản tin,,Subscribe to our newsletter to receive the latest updates.
2,4,Patient,"bệnh nhân, kiên nhẫn",,The patient waited calmly for the doctor to arrive.
2,4,Known,được biết đến,,The city is known for its vibrant culture and history.
2,4,Try out,thử nghiệm,,We should try out this new recipe for dinner tonight.
2,4,Stimulation,sự kích thích,,Proper stimulation can enhance a child’s learning ability.
2,4,Look for,tìm kiếm,,I'm looking for my keys; I can’t remember where I left them.
2,4,Determine,xác định,,The investigation will determine the cause of the accident.
2,4,Recruit,"tuyển dụng, tân binh",,The company plans to recruit new employees for the project.
2,4,Innovative,sáng tạo,,The team came up with an innovative solution to the problem.
2,4,Dependable,đáng tin cậy,,She is a dependable colleague who always meets deadlines.
2,4,Upcoming,sắp tới,,We’re preparing for the upcoming product launch next month.
2,4,Executive,"giám đốc điều hành, điều hành",,The executive team will discuss the company's future strategy.
2,4,Prepped,chuẩn bị sẵn sàng,,She prepped thoroughly for the presentation.
2,4,Launch,"ra mắt, phóng",,The company will launch its new app next week.
2,4,Ingredient,thành phần,,Fresh ingredients are key to making a delicious meal.
2,4,Inspection,sự kiểm tra,,The safety inspection will be conducted tomorrow morning.
2,4,Suburb,vùng ngoại ô,,They moved to a quiet suburb to raise their children.
2,4,Metropolitan area,khu vực đô thị,,The metropolitan area has excellent public transport connections.
2,4,Voice,bày tỏ,,Employees were encouraged to voice their opinions during the meeting.
2,4,Clutter,"bừa bộn, làm lộn xộn",,Please clear the clutter from your desk before the meeting.
2,4,Neat,gọn gàng,,Her handwriting is always very neat and easy to read.
2,4,Mess,tình trạng bừa bộn,,The kitchen was a mess after the party.
2,4,Adjust,điều chỉnh,,You can adjust the seat height by turning this knob.
2,4,Narrow,"hẹp, thu hẹp",,The bridge is too narrow for large vehicles.
2,4,Assemble,"lắp ráp, tụ họp",,It took him hours to assemble the new furniture.
2,4,Collaborate,hợp tác,,The two companies collaborated to develop a new product.
2,4,Renowned,nổi tiếng,,The chef is renowned for his innovative culinary techniques.
2,4,Rave,khen ngợi,,Critics gave the movie rave reviews.
2,4,Criticize,chỉ trích,,He was criticized for his lack of leadership skills.
2,4,Underway,đang tiến hành,,Construction of the new bridge is currently underway.
2,4,Shortly,"ngay lập tức, nhanh chóng",,The meeting will begin shortly.
2,4,Proceed,tiếp tục,,"After a short break, we will proceed with the presentation."
2,4,Pass,vé,,You need a pass to enter the restricted area.
2,4,Press conference,cuộc họp báo,,The CEO addressed the issues during the press conference.
2,4,Terminal,nhà ga,,The airport terminal was crowded with travelers.
2,4,Anticipate,dự đoán,,The company anticipates increased sales during the holiday season.
2,4,Reporter,phóng viên,,The reporter interviewed the mayor about the new policy.
3,1,Oven,lò nướng,,The cake is baking in the oven.
3,1,Cabinet,tủ,,The cabinet is full of dishes and glasses.
3,1,Towel,khăn,,She dried her hair with a clean towel.
3,1,Trash,"rác, vứt bỏ",,Please take out the trash before leaving the house.
3,1,Take off,"cởi (đồ), cất cánh",,The plane will take off at 6 PM.
3,1,Face,"đối mặt, quay mặt về hướng",,The house faces the beautiful mountain range.
3,1,Shelving unit,giá kệ,,The new shelving unit provides plenty of space for books and decorations.
